Refacility,facilityname,Syste
13859,Nyabikaye Dispensary,15956
23604,Stirling Medical Centre,15955
24313,Mikui Dispensary,15953
23522,Mwiregwa Dispensary,15950
22576,Nabeki Dispensary,15949
25529,Kerugoya Fortis Medical Clinic,15948
23556,Githiga Dispensary,15947
24257,Ematsuli Community Medical Clinic,15946
22860,Aimo Dispensary,15945
20748,Prima Medical Centre,15944
23651,Limuru Cottage Hospital,15943
19110,Kiatineni Dispensary,15942
14987,Kongoro Dispensary,15941
21801,Kithoni Dispensary,15940
26000,JaySprings Medical Clinic  LTD-Emuhaya,15939
22053,Agakhan Medical Centre (Busia),15938
26088,El Shaddai Medical Clinic,15937
22493,RADHORE DISPENSARY,15936
17890,Sabor Dispensary,15935
17719,Edarp Komarock Health Centre,15934
19756,Bwayi Dispensary,15933
23488,Brain Spine and Rehabilitation,15932
25345,Rubus Pharma LTD Health Centre,15931
18877,Otange Dispensary,15929
22018,Kenya Airways Pride Clinic,15928
14636,Kachoda Dispensary,15927
26228,Oasis Doctors Plaza Webuye,15926
20805,Muthingiini Dispensary,15925
24881,Silverkid Utawala Healthcare,15924
19012,Murpus Medical Clinic,15923
17397,Cure (AIC) international Children's Hospital,15922
25344,Penda health limited tassia,15921
19543,The mater Hospital,15920
22977,Fairview Medical Clinic,15919
18763,PCEA Kuwinda Health Clinic,15918
24699,Centres For Community Health Care Access,15916
19879,Imenti North Dice (Meru),15915
19014,Ortum Central Clinic,15914
22698,NYANGWETA,15913
17600,Ekani Dispensary,15912
13792,Matongo Medical Clinic,15911
18594,Joy Nursing Home and Maternity,15910
14588,Jagoror Dispensary,15909
24126,Tudor Healthcare Kisauni,15906
18118,Malkich Dispensary,15905
25008,The Karen Hospital City Centre Clinic,15904
25523,Kiwegu Dispensary,15903
23853,Lifebridge Cottage Hospital,15901
24094,Dol Kodera Health Centre,15900
10431,Kairini Dispensary,15899
20576,kibirichia Catholic Dispensary,15898
21911,Swalihat Medical Clinic,15897
24719,Angata Rongai Dispensary,15896
26440,Teriki Medical Clinic,15894
24011,Nyakeore Dispensary,15892
22686,Brightstar Medical Centre,15891
22614,Afyalink Medical Laboratories,15890
26507,Dynamed Medical Clinic,15889
18839,Destiny Medical Clinic,15887
13905,Nyambaria Geke Dispensary,15886
23958,Zowerani Dispensary,15885
26413,Maragwa Dispensary,15883
14736,Kaplelach Chepyakwai Dispensary,15882
19469,Imani Health Servises,15881
22532,Okita Health Center,15880
19277,Mother & child meridian & lab services,15879
21937,Mbuvori Prime Health Providers,15878
22017,Kamuchege Dispensary,15877
23931,Kabete Medical and Eye Care Centre(Naivasha),15876
25813,Maskan Medical Centre,15875
26254,Mbamburi Medicare Ltd,15874
17687,Live Well Health Clinic,15873
22479,ICRH Drop In Centre (Kilifi),15872
23560,Koitoror Dispensary,15871
21186,Sunrise Medical Centre (Bungoma),15870
26230,Kiawambogo Dispensary,15869
20362,Takaywa Dispensary,15868
22450,Mosora Dispensary,15867
17358,Chesunet Dispensary,15866
22900,Kericho Medical Clinic,15865
22859,Mercy Mission Hospital  Annex  (Nakuru),15864
25057,Equity Afia Medical Clinic,15862
23544,The Aga Khan Health Service,15861
25785,Olongoloto Dispensary,15860
14463,Enkorika Health Centre,15859
22836,Our Mother of Perpetual Bamba Catholic Dispensary,15858
22089,Posta Lanet Medical Clinic,15857
17884,Serena Medical Clinic,15856
18859,AAR Healthcare Limited (Karen),15855
18097,Bondo University Clinic,15854
22628,Koykoy Dispensary,15853
25191,Mulot Medical Clinic,15851
14268,Border Medical Care,15850
22703,Gakurwe Health Services,15849
21539,Konjora Dispensary,15848
20360,Maximum Medical Clinic,15847
26036,WATITI DISPENSARY(moyale),15845
25510,Royal Victoria Hospital,15844
22685,Changamwe Drop In Centre,15842
25944,Loco Medical Centre & Maternity Home,15840
24335,Nice Veew Medical Clinic,15839
21541,Mkondoni Dispensary,15838
19628,Kisiwani VCT,15837
25504,St. Rita Esperanza Medical Clinic,15836
25784,Sikawa Dispensary,15835
22938,The Mater Hospital-Satelite Clinic(TRM),15834
23336,Primex Medical Clinic,15833
18227,Kagioini Catholic Dispensary,15832
25161,Blossomvale Hope Nursing Home,15831
17279,Masikita Dispensary,15830
25207,Lifeway House,15828
25230,Langalanga St. Teresa Midical Centre,15827
18285,Tumaini Childrens Home Out Patient Clinic,15826
14122,St Norah's clinc,15825
24066,kambini dispensary,15824
15608,Solyot Dispensary,15823
17872,Muaani Rural Health Dispensary,15822
22377,Lilyon Nursing Home,15821
25158,Kirinyaga Treatment Centre,15820
14138,Swindon St Elizabeth Clinic,15819
17469,Kiteje Dispensary,15818
24221,Getende Nursing Home,15817
21739,Kakimanyi Dispensary,15816
24269,Vision Medical Centre (Kagumo),15815
22880,Kirima Ndungiri Dispensary,15814
23875,New degree medical centre,15813
14754,Kapsasian Dispensary,15812
14595,Jemunada Dispensary,15811
23768,Othaya Jamii Medical Centre,15810
23481,Bahati Memorial Clinic,15809
23770,Obomo Medicare Clinic Omogonchoro,15808
22302,Oasis Doctors Plaza (Homabay),15806
18721,Kandaria Medical Centre,15805
24289,Heshima Dundori medical clinic,15804
23079,Kagaa dispensary,15802
19373,Horeb medical clinic( hunters),15801
25575,LVCT Korogocho,15800
24299,Zion Medical Centre Bungoma,15799
17414,Wananchi Medical Clinic,15798
25027,Getembe Dispensary,15797
26168,LAWINA DISPENSARY,15795
24214,ABDALLAH & ASSOCIATES DENTAL AND IMPLANT CENTRE,15792
24210,Athi Dispensary (Kitui South),15791
26112,Pascal Kip Health Diagnostics,15790
23349,Destiny Medical Centre,15789
24002,Access Afya Kwa Reuben Clinic,15788
24392,Kipsigis Medical Clinic (Litein),15787
24819,Kosia Dispensary,15786
20367,Paraywa Dispensary,15784
26040,Elbeso Dispensary,15783
18386,Saika Nursing Home,15780
22080,Machakos Doctors' Plaza,15779
25196,Nzoia Medical Centre-Kakamega,15778
20000,Lolupe Dispensary (Turkana Central),15777
24775,Riochanda Nursing Home,15776
21039,Rang'ul Dispensary,15775
24381,Kerwa Dispensary,15772
21783,Misikhu Dispensary,15770
25777,Anka Hospital,15769
20818,Nayanaeangikalalio Dispensary,15768
21140,Seaside Hospital Mariakani,15767
24929,Mediheal Hospital (Nakuru) Annex,15764
14531,Gorgor Dispensary,15763
21880,Murang'a County Beyond Zero Clinic,15761
14564,Ilkerin Dispensary (Trans Mara),15759
23785,Royal Gardens Hospital,15758
25526,Noka Medi Care,15755
19841,CFW Mwea Clinic,15754
18984,Kibera Highway Clinic,15753
22986,Kitbul Dispensary,15751
23266,Friend's Medical Clinic Matunda,15749
17537,Deteni Medical Clinic,15748
21700,Ndengelwa Dispensary,15747
14196,Alale (AIC) Health Centre,15746
10904,Nyeri Endoscopy and Surgicare Centre,15744
17391,St Mac's Hospital,15740
25611,Ndimaini medical clinic,15739
24154,AMA Dispensary,15738
23869,TF MyChemist Oilibya (Parklands),15735
17302,Bararget Dispensary,15734
14751,Kapsamoch Dispensary,15732
22594,Aruba Dispensary,15728
25371,Gracepark Medical Centre,15726
23667,Aga Khan Medical Centre (Kapsabet),15725
17767,Tropical Medical Clinic,15724
18376,Upendo (PCEA) Dispensary,15721
18850,Kiroone Dispensary,15719
18061,Neema Hospital (Ruiru),15718
22999,Kituni Dispensary,15717
19333,Index Medical Services,15714
21896,Sambocho Health Centre,15713
23963,Quintet Medical Centre,15711
17889,Withare Dispensary,15710
24112,Joyellen Women Hospital,15708
24135,Kanyumbuni Dispensary,15705
20660,Narengewoi Dispensary,15704
23802,Malili Medical Centre,15703
22026,Musumaa Dispensary,15702
19247,The Hanna Medicare Centre,15701
21375,Teremkus Dispensary,15700
20972,Yandue Dispensary,15699
26521,Biretuwonin,15694
23379,Kathwana Dispensary,15693
25585,Reliable Health Care Services Limited,15692
20276,Maria Medical Clinic And Diadetic centre(Saika),15686
24738,Shamah Medical Clinic,15685
20641,Congo medical services,15682
14539,GSU Dispensary (Kabarak),15681
24173,Nairobi Women Hospital - Nakuru CBD,15680
22942,NYS Athiriver Yatta,15678
17918,Iiani Dispensary (Kibwezi),15671
20534,Njerian Dispensary,15669
17226,Ngarendare Dispensary,15667
17526,Nguge Dispensary,15663
17274,Angata Nanyokie Dispensary,15662
13984,Omogwa Dispensary,15661
24263,Focus Health Care Services,15659
21058,Mafubu Dispensary,15656
22409,Kawalase Dispensary,15655
18080,Gatunga Model Health Centre,15654
14829,Kepchomo Tea Dispensary (Nandi East),15653
23887,Kibunga sub-district Hospital,15652_17
22376,Messianic Medical Clinic,15652_16
23716,Kimandi Unique Meridian Medical Centre,15652_15
23297,Kabete Gardens Hospital,15652_14
18278,Healthways Medical Centre,15652_12
13959,Ochuna Dispensary,15652_11
19912,MaterCare Maternity Hospital,15652_10
22236,Thunguri Dispensary,15652_09
18148,Kapsang'ar Dispensary,15652_08
14542,Guyana Medical Clinic,15652_07
26522,Royal Dental Clinic-Kisumu,15652_05
23343,Devans Medical clinic,15652_04
18937,Kaciongo Medical Clinic,15652_03
26344,Ambaaru Medical Clinic,15652_02
22357,sukut dispensary,15652_01
26393,The Green Gate Medical Centre -Kanunga,15652
23764,Kingdom Faith Based Hospital,15651
23793,Gertrudes Childrens Hospital Clinic (Junction Mall),15650
24375,Mama Karen Medical Clinic (Muraru),15649
21110,Kevote Dispensary,15647
24220,Migori County Blood Satelite,15646
24928,St Lameck huduma nursing home,15645
24856,Gikiiro Dispensary,15644
26325,Benonin Dispensary,15643
23850,Access Afya Kiambiu,15641
25418,Nariemeto Dispensary,15639
26051,Eliss Medical clinic,15637
18250,Langi Kawino Dispensary,15636
18288,Grace Medical Clinic,15635
17172,Kolenyo Health Centre,15634
24382,Karai Muslim Dispensary,15632
20942,Sachoran Dispensary,15630
24197,Alluc Medical Centre,15628
21262,Lolwe Health Centre,15627
25655,Faith and Gracious Clinic,15626
20377,Dago Jonyo Dispensary,15625
14057,Rodi Health Centre,15623
17171,Kuoyo Kaila Health Centre,15619
22849,Patema Medical Clinic,15618
20024,Otieno Owala Health Cetre,15617
12421,Kyusyani Dispensary,15616
26091,Chiromo Mental Health Hospital,15611
23842,Milimani Medical Centre,15608
20069,Osewre Dispensary,15607
18086,Oriang' Alwala Dispensary,15606
14823,Kebeneti Dispensary,15605
21384,Wellcare Medical Centre,15603
14628,Kaboson Health Centre,15602
23092,Manyonge Dispensary,15601
21120,Mumoni Maternity and Nursing  Home (Mwingi North),15600
26224,New Mazeras Health care Clinic,15599
25058,Serima Dispensary,15598
21974,Runywene Dispensary,15594
23387,Afya Bora Medical Clinic,15593
17173,Onyinjo Dispensary,15591
24012,Nyamokenye Dispensary,15590
22943,Kiwanza Dispensary (Yatta),15589
24333,KERIO HOSPITAL-KABARNET CLINIC,15587
20907,Miranga Dispensary,15586
22973,Shirakalu Dispensary,15585
15713,Tebesonik Dispensary,15581
22271,Whiterose Medical Clinic (Gategi satellite),15580
22322,Medicross Medical Clinic,15578
24980,Joy Morangi  Medical Centre,15577
20204,Embu Univesity College Health Unit,15576
20032,Mithikwani Dispensary,15574
20070,Kabati Medicare Health Services Nursing Home,15572
14389,Chuiyat Dispensary,15571
23246,The Mandera Hospital,15570
22121,Nyaroha Dispensary,15569
24255,Shamaal Hospital,15568
25431,Shawal Nursing Home,15566
25911,Mandera Nursing Home,15565
26395,Mandera Dental Services,15564
24996,Koromey Dispensary,15560
26004,Al-Raheem Medical Centre,15558
26365,MAMA HABIBA MATERNITY AND NURSING HOME-BANISA LIMITED,15557
18851,Mandera West Nursing Home,15556
21381,Beyond Zero Mobile Medical Clinic (Mandera),15554
22192,Bongu Konyango Dispensary,15551
23881,Mathareini GK Dispensary,15550
22513,Kairuru Dispensary,15549
21844,Kamonka Dispensary,15547
21403,Tumaini Brigadier Medical Clinic,15545
18875,Hope World Wide Nakuru,15543
24295,kamunyaka dispensary,15542
15118,Makyolok Dispensary,15541
25915,Out of Ashes Community Health Clinic,15540
24795,Gilead Family Hospital,15537
24164,Tudor Healthcare (Kwale),15533
24863,St Patrick Clinic,15529
19137,Family Care Doctor's Plaza,15528
25694,Shichinji Dispensary,15527
17567,St Martin Catholic Social Apostolate,15521
22962,Rangwe Hometown Medical Clinic,15520
25976,Mediheal Hospital Town Clinic-Nakuru,15519
22270,Makutano Dispensary,15518
20084,Kanyerus Dispensary,15516
21171,Bomet County Beyond Zero Mobile Clinic,15513
26151,Kapina Dispensary,15512
24746,Omia Diere Dispensary,15511
25164,Kiu Ngatu Medical Clinic,15509
25339,Iftin Medical Clinic and Lab,15508
19228,Joy Clinic (Manyatta),15503
23523,Bliss Medical Centre,15502
22174,Mary Immaculate (Ruringu),15500
23067,KARAA DISPENSARY,15498
21991,Kwale Medicare Clinic,15497
23968,Kakamega Medcare Clinic,15495
24765,Thiba Dam Dispensary,15494
17032,Unison Medical Clinic,15491
26345,Namirembe Dispensary,15490
24342,Komarock Healthcare-Kathwana,15489
21551,Kaprobu Dispensary,15484
24841,chepkorniswo dispensary,15483
18890,Maendeleo Medical Clinic,15481
14808,Kasheen Dispenasry,15480
26052,Shibale Medical Clinic,15479
24939,Ladopharma Medical Centre-Masara LTD,15477
24875,Ng'oli Dispensary,15473
24448,Ntimaru Milimani Health Clinic,15470
24957,Forth Worth Medical Clinic,15468
22936,Namunyak Medical Centre,15466
25215,ITARC Kenya Limited(Naivasha),15465
23131,Sister's of St. Josepth Catholic Dispensary,15464
19233,Kiima Kiu Dispensary,15463
13335,Mandera Central Sub county Hospital,15462
14913,Kipsegi Dispensary,15461
19090,VOI Medical  Clinix,15458
22372,Kerugoya Fortis Medical and Cancer Centre,15449
24506,Montery  Medical Centre,15447
25286,Essaba Dispensary,15446
17692,Mapenya Dispensary,15445
26382,Rotri Healthcare Centre,15444
22729,Mung'etho Dispensary,15441
19696,Meridian Clinic (Kitengela),15440
10091,Chemat For Health Solutions Kamweti,15438
14056,Roadblock Clinic,15437
20265,Afya Medical Clinic (Mbaruk),15434
22178,Mary Immaculate (Kingongo),15433
23234,Alpha Medical Centre Thigio,15432
21317,Luciuti Dispensary,15430
17866,Tumaini Medical Clinic (Thika West),15424
14939,Kiromwok Dispensary,15423
22570,Khalwenge Dispensary,15421
26347,Mandera Wellness Centre Annex,15420
13640,Kadem TB & Leprosy Dispensary,15418
13805,Migori County Referral Hospital,15417
13745,Macalder Sub-County Hospital,15414
12181,Kanyakine District Hospital,15412
12366,Kitui County Referral Hospital,15411
14634,Kacheliba District Hospital,15410
13110,Nairobi Hospital,15407
11973,Chuka County Refferal Hospital,15405
12008,Endau Dispensary,15404
12601,Mutitu Sub County Hospital,15400
12472,Marsabit County Refferal Hospital,15398
12684,Nyambene District Hospital,15397
10603,Kikuyu (PCEA) Hospital,15390
14831,Kericho District Hospital,15389
11906,Wesu Sub County Hospital,15388
11561,Manyani Dispensary,15387
12177,Kangundo Sub county Hospital,15381
11641,Moi County Referral Hospital (Voi),15380
11695,Mwatate Sub-County Hospital,15377
12438,Machakos Level 5 Hospital,15376
11258,Bomu Medical Hospital (Changamwe),15375
13402,Mandera County Refferal Hospital,15372
15049,Lodwar County Referral Hospital,15370
11600,Mewa Hospital,15368
15894,Hamisi Sub County Hospital,15367
11289,Coast General Teaching and Referral Hospital,15366
13346,Garissa County Referral Hospital,15365
11679,Mvita Dispensary,15364
11705,Ndovu Health Centre,15363
13161,Nairobi Remand Prison Health Centre,15362
14022,Rachuonyo District Hospital,15358
11522,Likoni District Hospital,15357
15311,Narok County Referral Hospital,15356
15340,Ngatataek Health Centre,15355
12591,Muthara Sub-District Hospital,15353
13527,Christamarianne Mission Hospital,15351
15305,Nanyuki District Hospital,15349
15288,Nakuru Provincial General Hospital,15348
10485,Karatina District Hospital,15347
13023,Kenyatta National Hospital,15345
16157,Vihiga County Referral Hospital,15344
13703,Kisii Teaching And Referral Hospital (Level 6),15343
11411,Hola District Hospital,15342
11094,Thika Level 5 Hospital,15340
12544,Moyale Subcounty Referral Hospital,15339
15890,GK Prison Dispensary ( Bungoma South),15336
12905,Coptic Hospital,15334
15926,Kaptanai Dispensary,15331
14586,Iten County Referral Hospital,15330
11955,Bishop Kioko Catholic Hospital,15328
10903,Nyeri Provincial General Hospital (PGH),15327
15880,Equator Nursing and Maternity Home,15326
11840,Taveta Sub County Hospital,15325
15950,Kimilili Subcounty Hospital,15323
13939,Jaramogi Oginga Odinga Teaching & Referral Hospital,15322
11480,Kinango Sub County Hospital,15318
15280,Naivasha District Hospital,15312
14516,Naivasha GK Prison Annex Dispensary,15311
15861,Chwele Friends Dispensary,15310
15719,Tenwek Mission Hospital,15305
10686,Maragua District Hospital,15304
12457,Makueni County Referral Hospital,15303
15138,Marigat Sub District Hospital,15301
11463,Kiangachinyi Dispensary,15299
12455,Makindu Sub County Hospital,15296
10539,Kiambu County Referal Hospital,15294
10588,Kigumo Sub County Hospital (Muranga South),15293
11774,Sayyida Fatimah Hospital,15292
11615,Mikindani Medical Clinic,15290
13117,Nairobi Womens Hospital (Hurlingham),15289
13077,Mathare North Health Centre,15288
12881,Baraka Dispensary (Nairobi),15287
13163,Rhodes Chest Clinic,15283
10887,North Kinangop Catholic Hospital,15282
15828,Bungoma County Referral Hospital,15281
16138,St Damiano Mission Hospital,15280
12743,St Ann Hospital,15279
12508,Mbooni Sub County Hospital,15277
14749,Kapsabet County Referral Hospital,15274
11655,Msambweni County Referral Hospital,15273
15862,Coptic Nursing Home,15272
16458,Kimogoi Dispensary,15270
10290,GK Prisons Dispensary (Kiambu Town),15268
16151,Tigoi Health Centre,15266
14224,Bahati District Hospital,15264
15960,Likindu Dispensary,15263
11995,Ekalakala Health Centre,15262
11669,Mtongwe Dispensary,15261
12605,Mutuati Sub-County Hospital,15260
11459,Kenya Navy (MIR) Hospital,15257
12174,Kangeta Heaith Centre,15254
10890,Nyahururu District Hospital,15253
15589,Sipili Health Centre,15251
10765,St Mulumba Mission Hospital,15250
12317,Kimutwa Dispensary,15247
22211,KEMRI Walter Reed Project Kericho,15244
10763,Mukurweini District Hospital,15242
12787,Tawa Sub County Hospial,15241
13471,Akala Health Centre,15240
12257,Kaviani Health Centre,15239
13452,Wajir County Referral Hospital,15238
11395,Shimo-La Tewa Health Centre (GK Prison),15237
15358,Njoro Subcounty Hospital,15236
11397,Shimo Borstal Dispensary,15234
11902,Wema Centre Medical Clinic,15232
11393,Shimo La Tewa Annex GK Prison Dispensary,15231
12965,Guru Nanak Hospital,15230
13064,Mariakani Cottage Hospital Ltd,15229
16161,Webuye Hospital,15228
11831,State House Dispensary (Mombasa),15227
11434,Jocham Hospital,15225
11861,Tudor Sub County Hospital,15222
11239,Bamburi Dispensary,15219
12208,Kasikeu Dispensary,15217
10636,Kirogo Health Centre,15214
13528,Chulaimbo County Hospital,15213
13781,Maseno Mission Hospital,15212
12080,Ikutha Sub County Hospital,15209
13074,The Mater Misericordiae Hospital (Mukuru),15208
12603,Mutomo Sub County Hospital,15206
11555,Malindi Sub-County Hospital,15205
11529,Mabati Medical Clinic,15204
11740,Port Reitz Sub County Hospital,15203
11274,Coast General Teaching and Referral Hospital (Chaani Outreach Centre),15201
11632,David Kariuki Medical Centre (Mkuyuni),15200
11634,Mlaleo Medical Clinic,15199
13087,Memorial Hospital,15198
13667,Kendu Adventist Hospital,15196
13608,Homa Bay County Teaching and Referral Hospital,15195
12291,Kibwezi Sub County Hospital,15194
13221,St Odilia's Dispensary,15193
11934,Athi Kamunyuni health Centre,15190
13704,Kisumu County Hospital,15188
13738,Lumumba Sub County Hospital,15186
11970,Chogoria (PCEA) Hospital,15185
12547,Mtito Andei Sub County Hospital,15183
10586,Kigoro Health Centre,15181
13807,Migosi Sub County Hospital,15180
16549,Mwananyamala CDF Dispensary,15178
12483,Mathuki Health Centre,15177
13220,Edarp Donholm Clinic,15174
14607,Baringo County Referral Hospital,15173
12132,Kajuki Health Centre,15172
11893,Watamu (SDA) Dispensary,15170
12586,Mutha Health Centre,15168
15495,Rongai Health Centre,15167
15827,Bungasi Health Centre,15165
12516,Meru Teaching & Referral Hospital,15164
16215,Laisamis Catholic Hospital,15160
11539,Mainland Health Centre (Magongo),15158
11474,Kilifi County Hospital,15157
13678,Masaba District Hospital,15156
11755,Rea Vipingo Dispensary,15155
11299,Dawida Maternity Nursing Home,15154
11499,Kongowea Health Centre,15153
12312,Kilili Health Centre,15152
15628,St Anthony Health Centre,15150
10922,Othaya Sub County Hospital,15149
13747,Madiany Sub County Hospital,15148
16126,Sinoko Dispensary (Bungoma East),15147
16710,Kayaya Dispensary,15146
11559,Mambrui Dispensary,15145
11843,Tawfiq Muslim Hospital,15144
13076,Mathari Hospital,15139
13122,Ngara Health Centre (City Council of Nairobi),15138
15739,Transmara West Sub County Hospital,15137
11424,Jambo Clinic,15131
16091,Port Victoria Hospital,15130
10257,Gitare Health Centre (Gatundu),15129
16029,Mukhobola Health Centre,15126
15811,Budalangi Dispensary,15125
12207,Kasikeu Catholic Dispensary,15124
12094,Isiolo District Hospital,15121
11264,Bura Sub County  Hospital,15120
16073,Holy Family Nangina Mission Hospital,15119
13003,Karen Health Centre,15118
10244,Geta Bush Health centre,15117
12102,Iuani Health Centre,15116
11173,Wanjohi Health Centre,15114
12503,Mbiuni Health Centre,15113
12730,Shalom Community Hospital,15112
11787,Shimba Hills Health Centre,15111
11498,Kombeni Dispensary,15110
11507,Kwale District Hospital,15108
13070,Marura Nursing Home,15107
12561,Mukui Health Centre,15106
13594,Gucha Sub County Referral Hospital,15103
11124,Tumutumu (PCEA) Hospital,15102
16037,Matungu Sub County Hospital,15101
16118,Shisaba Dispensary,15100
10905,Nyeri Town Health Centre,15097
10700,Mary Immaculate Hospital (Nyeri North),15096
12782,Syumile Dispensary,15095
16012,Mbale Rural Health Training Centre,15093
13897,Nyamaraga Sub County Hospital,15089
12876,Babadogo Health Centre,15081
11912,Oasis medical centre,15079
13618,Inuka Hospital & Maternity Home,15078
10459,Kandara Sub County Hospital,15077
12681,Nuu Sub County Hospital,15076
13652,Kandege Dispensary,15074
11768,Samburu Health Centre,15073
11687,Mwanda Dispensary,15070
16792,Wagai Health Centre,15069
12830,Uruku GK Dispensary,15068
11432,Jibana Sub District Hospital,15067
16785,Bar Sauri Health Centre,15065
15181,Meteitei Sub-District Hospital,15064
11254,Bokole CDF Dispensary,15063
16664,Usoma Health Centre,15062
13709,Kodiaga Prison Health Centre,15059
10602,Kijabe (AIC) Hospital,15058
16015,Miendo Dispensary,15057
12307,Kikumini Dispensary,15056
15939,Khunyangu Sub County Hospital,15052
12205,PCEA Kasasule Dispensary,15051
15866,Ebusiratsi Health Centre,15050
13121,Ngaira Rhodes Dispensary,15049
10811,Mweiga Rural Health Clinic,15048
15887,Esitsaba Dispensary,15046
12489,Matuu Mission Health Centre,15043
12305,Kikesa Dispensary,15042
12686,NYS Dispensary (Mavoloni),15041
11817,St Joseph's Shelter Of Hope,15040
10944,Pona Medical Clinic (Nyeri North),15039
12673,Nthagaiya Catholic Dispensary,15035
12004,Embu Provincial General Hospital,15034
12929,Dreams Center Dispensary,15030
12492,Maua Methodist Hospital,15028
16150,Teso North Sub County Hospital,15026
12972,Jumuia Hospital (Huruma),15023
15982,Lyanaginga Model Health Centre,15022
16456,Kaptech Dispensary,15021
15879,Enzaro Health Centre,15019
11613,Mikindani (MCM) Dispensary,15018
12096,Ithaeni Dispensary,15014
15915,Kakamega County General Hospital,15013
13638,Kabondo Sub County Hospital,15011
13548,Esani Sub-District Hospital,15010
11789,Shimoni Dispensary,15009
16078,Navakholo Sub-District Hospital,15008
13579,GK Prisons Dispensary (Kibos),15007
15804,Approved Dispensary,15006
13115,Nairobi West Hospital,15004
16059,Nabongo Dispensary,15003
10189,GK Prison Dispensary,15002
15814,Bugamangi Dispensary,15001
15686,Sunrise Evans Hospital,14999
13469,Airport Health Centre (Kisumu),14997
13258,Westlands Health Centre,14988
11620,Miritini CDF Dispensary,14987
10249,Gichiche Health Centre,14986
15949,Kimangeti Dispensary,14982
15936,Khaunga Dispensary,14981
16018,Milo Health Centre,14977
10100,Consolata Mission Hospital (Mathari),14976
15795,Alupe Sub County Referral Hospital,14975
13591,Got Nyabondo Health Centre,14973
10987,Sabasaba Health Centre,14972
15834,Busia County Referral Hospital,14971
11566,Mariakani Sub County Hospital,14970
11764,Sagala Health Centre,14966
12288,Kibugua Health Centre,14965
14058,Rongo Sub County Hospital,14961
12156,Kalulini Health Centre (Kibwezi),14960
10286,GK Prison Dispensary (Kingongo),14958
12475,Masii Health Centre,14957
13710,Kogelo Dispensary,14955
16103,Serem Health Centre,14954
12537,Miu Health Centre,14951
11385,Garsen Health Centre,14950
15885,Esiarambatsi Health Centre,14949
10630,Kirima Dispensary,14948
12997,Kahawa West Health Centre,14947
13706,Kituka Dispensary,14946
13496,Bar Agulu Dispensary,14945
12314,Kilungu Sub County Hospital,14943
13785,Masogo Sub County Hospital,14942
14836,Keringet Sub County Hospital,14941
12271,Kiambere Dam Dispensary,14940
11471,Kikambala Medical Services,14939
11881,Vipingo Rural Demonstration Health Centre,14938
11883,Vitengeni Health Centre,14937
11305,Dida Dispensary,14935
13840,Ndere Health Centre,14932
13476,Ambira Sub-County Hospital,14928
13803,Mindhine Dispensary,14926
13773,Marenyo Health Centre,14925
11650,Mpinzinyi Health Centre,14924
12077,Ikanga Sub County Hospital,14923
13600,Hawinga Health Centre,14922
13090,Metropolitan Hospital Nairobi,14921
16095,Rukala Model Health Centre,14920
13051,Loco Dispensary,14919
13155,Pumwani Majengo Dispensary,14918
12301,Kiini Health Centre,14916
15502,Rumuruti District Hospital,14913
10661,Limuru Health Centre,14901
11904,Werugha Health Centre,14899
13050,Liverpool VCT,14898
13165,Riruta Health Centre,14897
13029,Kibera D.O. Dispensary,14896
13210,St Joseph's Dispensary (Dagoretti),14895
13091,Mid Hill Medical Clinic,14893
16025,Mt Elgon Sub County Hospital,14892
15924,Kaptalelio Dispensary,14890
15654,St Mary's Hospital (Gilgil),14887
15965,Lugulu Friends Mission Hospital,14882
13062,Maria Immaculate Health Centre (lavington),14878
16158,Vihiga Health Centre,14877
10304,GSU Dispensary (Ruiru),14876
13603,Hema Hospital,14874
11684,Mwaluphamba Dispensary,14873
11853,Tiwi RHTC,14872_35
11398,Tana River GK Prisons Dispensary,14872_34
12593,Muthetheni Health Centre,14872_29
12454,Makima Dispensary,14872_28
11962,Kambu Catholic Dispensary,14872_23
12033,Gatunduri Dispensary,14872_22
12530,Mitaboni Health Centre,14872_21
12477,Masongaleni Health Centre,14872_20
12045,GK Prison Dispensary (Embu),14872_19
12048,GK Prison Dispensary (Machakos),14872_18
15370,Nyakiambi Dispensary,14872_17
13834,Mulaha Dispensary,14872_16
11672,Mtwapa Health Centre,14872_14
11104,Tigoni District Hospital,14872_10
13656,Karungu Sub-County Hospital,14872_07
10822,Naromoru Health Centre,14872_06
13675,Kenyerere Health Centre (Masaba South),14872_05
15891,GK Prisons Dispensary (Busia),14872_03
10089,Charity Medical Centre,14872_01
10973,Ruiru Sub-County Hospital,14872
10338,Igegania Sub-District Hospital,14871
10674,Makuyu Health Centre,14870
12930,Eastleigh Health Centre,14869
16329,Inkoirienito Dispensary,14868
10253,Gikoe Dispensary,14867
16061,Naitiri Sub County Hospital,14866
15973,Lungai Dispensary,14863
16791,Umala Dispensary,14860
13533,Dienya Health Centre,14858
12546,Mpukoni Health Centre,14857
13647,Gita Sub County Hospital,14854
12078,Ikombe Dispensary,14849
15367,Ntulele Health centre,14847
10538,Kiambogo Medical Clinic,14846
10202,Gakoe Health Centre,14845
10819,Naidu Hospital,14843
15556,Setek Dispensary,14841
12571,Mumbuni Health Centre (Makueni),14838
11266,Bwagamoyo Dispensary,14837
10434,Kairuthi Dispensary,14836
12308,Kikumini Health Centre,14834
16547,Kinondo Kwetu Community Clinic,14833
